Date, Area, Obs, Grid, Alt, Aspect, Incline, Location, Air Temp, Wind Dir, Wind Speed, Cloud, Precip Code, Drift, Total Snow Depth, Foot Pen, Ski Pen, Rain at 900, Summit Air Temp, Summit Wind Dir, Summit Wind Speed, Observed aval. hazard, Forecast aval. hazard, Avalanche Code, Max Temp Grad, Max Hardness Grad, No Settle, Snow Index, Insolation, Crystals, Wetness, AV Cat, Snow Temp, Comments
"2018-04-14 12:50:00","Creag Meagaidh","TR","391851","800","40","35","East ridge. Beinn a Chaorainn","5.50","220.00","10.00","70","0 - None","0","300","11.00","0","0","4.00","225","15","Low","Low","0","0.00","1","332","0","20","0","2","0","0.00","Isothermal snowpack. Generally well stabilised moist snowpack. Debris from recent cornice collapse on one of Beinn a Chaorainn's East faces.",
"2018-04-13 12:20:00","Creag Meagaidh","TR","433881","750","50","28","Entrance to Easy Gully, Coire Ardair.","4.00","140.00","10.00","100","0 - None","0","310","12.00","0","1","2.50","145","20","Low","Low","0","0.00","1","332","0","20","0","2","0","0.00","Snowpack wet and isothermal at all elevations. Fairly recent full depth avalanche debris in many places on the Post Face. Generally stability is good though full depth avalanche potential increasing in the thaw.",
"2018-04-12 11:00:00","Creag Meagaidh","WS","449895","700","135","30","Coire Ardair, below Wall Gully","6.00","135.00","10.00","20","0 - None","0","90","10.00","0","0","3.00","135","26","Low","Low","0","0.00","4","332","0","20","0","2","0","0.00","Surface  soft. moist. Snowpack isothermal",
"2018-04-11 12:00:00","Creag Meagaidh","WS /AS","448897","880","110","30","Coire a Chriochaerin, Boundary Wall gully","2.70","135.00","2.00","100","0 - None","0","210","10.00","0","0","4.00","135","26","Low","Low","0","0.00","3","332","0","20","0","2","0","0.00","Soft moist surface snow overlies well consolidated. Snowpack isothermal. No shears noted",
"2018-04-10 13:05:00","Creag Meagaidh","TR","450895","750","155","32","Approach to Wall Gully, Coire Ardair.","5.70","90.00","15.00","60","0 - None","0","110","21.00","0","0","2.00","90","20","Moderate","Moderate","0","0.00","2","332","0","20","0","2","0","0.00","Generally stable moist spring snowpack. Recent debris from minor wet loose snow and full depth avalanches litters the base of Easy Gully. Good stability in most locations. Large cornices remain in place.",
"2018-04-09 12:15:00","Creag Meagaidh","TR","499919","800","140","28","Coire Dubh","5.00","180.00","3.00","90","0 - None","0","125","12.00","0","0","1.50","180","10","Moderate","Moderate","0","0.00","1","332","0","20","0","2","0","0.00","Localised wet snow instability limited to steeper aspects. Very large cornices over NE to SE aspects. Moist, isothermal snowpack.",
"2018-04-08 13:00:00","Creag Meagaidh","WS","458898","800","90","30","Cairn Liath","4.00","220.00","5.00","0","2 - Trace","0","100","10.00","0","0","0.00","220","8","Moderate","Moderate","0","0.00","2","330","0","20","0","2","0","0.00","V light dusting overnight at summit level - thaw to all levels with sunshine (once valley fog lifted) Snowpack isothermal",
"2018-04-07 12:00:00","Creag Meagaidh","WS","424886","800","160","30","Inner Coire Ardair","4.00","220.00","10.00","100","0 - None","0","100","8.00","0","1","0.00","220","20","Moderate","Moderate","0","0.10","2","330","0","20","0","2","0","0.00","soft wet surface snow, saturated layer immediately below at MF interface",
"2018-04-06 12:15:00","Creag Meagaidh","TR","449896","820","165","32","Approach to Wall gully, Coire Ardair","1.20","155.00","25.00","100","4 - Light Showers","1","120","22.00","0","1","-1.00","145","40","Considerable -","Moderate","4400","0.30","2","326","0","20","0","2","0","0.00","Poor visibility above 800m all day. Snowpack becoming isothermal. Early drifting but only above 950m. Minor but noticeable snow loss at lowest elevations.",
"2018-04-05 12:35:00","Creag Meagaidh","TR","444896","810","125","30","Coire Chriochairein","0.00","300.00","10.00","40","4 - Light Showers","1","175","60.00","0","0","-3.50","300","25","Considerable +","Considerable -","2013","1.30","1","322","0","20","0","1","0","0.00","Dry slab avalanche activity in the coire. Drifting up high all day. Warm in the sun at lower altitudes. Roller ball activity from rocks and crags below 700m.",
