Date, Area, Obs, Grid, Alt, Aspect, Incline, Location, Air Temp, Wind Dir, Wind Speed, Cloud, Precip Code, Drift, Total Snow Depth, Foot Pen, Ski Pen, Rain at 900, Summit Air Temp, Summit Wind Dir, Summit Wind Speed, Observed aval. hazard, Forecast aval. hazard, Avalanche Code, Max Temp Grad, Max Hardness Grad, No Settle, Snow Index, Insolation, Crystals, Wetness, AV Cat, Snow Temp, Comments
"2018-04-14 11:25:00","Glencoe","PM","252504","1100","8","17","Meall a Bhuiridh","2.40","214.00","4.00","100","0 - None","0","140","12.00","0","0","2.00","180","12","Low","Low","0","0.00","1","310","0","20","0","2","0","0.00","",
"2018-04-13 11:30:00","Glencoe","PM","257507","960","80","32","Meall a Bhuiridh","1.20","120.00","10.00","100","0 - None","0","130","25.00","0","1","1.00","90","16","Low","Low","0","0.00","1","310","0","20","0","2","0","0.00","",
"2018-04-12 11:40:00","Glencoe","PM","249505","1050","340","30","Meall a Bhuiridh","2.40","82.00","17.00","30","0 - None","0","60","30.00","0","0","5.00","90","41","Low","Low","0","0.00","0","310","0","20","0","2","0","0.00","",
"2018-04-11 11:15:00","Glencoe","PM","250505","1020","315","25","Meall a Bhuiridh","0.80","120.00","15.00","100","0 - None","0","60","30.00","0","0","2.00","90","30","Low","Low","0","0.00","2","310","0","20","0","2","0","0.00","",
"2018-04-10 11:50:00","Glencoe","PM","250503","1100","217","20","Meall a Bhuiridh","0.90","70.00","12.00","100","0 - None","0","100","30.00","0","0","0.00","90","38","Moderate","Low","0","0.00","0","310","0","20","0","2","0","0.00","",
"2018-04-09 10:10:00","Glencoe","PM","216544","800","50","30","Buachaille Etive Mor","2.20","185.00","4.00","30","0 - None","0","90","15.00","0","1","1.00","135","14","Moderate","Moderate","0","0.00","1","310","0","20","0","2","0","0.00","",
"2018-04-08 11:30:00","Glencoe","PM","256504","1020","42","28","Meall a Bhuiridh","1.00","287.00","2.00","80","0 - None","0","140","8.00","0","0","1.00","247","11","Moderate","Moderate","0","0.00","1","310","0","20","0","2","0","0.00","",
"2018-04-07 11:45:00","Glencoe","PM","256504","1025","41","27","Meall a Bhuiridh","1.50","200.00","3.00","100","0 - None","0","140","9.00","0","1","1.00","180","11","Considerable -","Moderate","1022","0.00","1","310","0","20","0","2","0","0.00","Skier triggered avalanche on Easterly aspect ",
"2018-04-06 11:30:00","Glencoe","PM","252504","1077","344","20","Meall a Bhuiridh","-1.60","120.00","6.00","100","2 - Trace","1","120","10.00","0","0","-2.00","135","42","Considerable -","Considerable -","4400","","3","308","0","20","0","1","0","-1.60","Reactive Shear @ 42cms today.

Human triggered avalanche activity noted yesterday on a Southerly aspect.",
"2018-04-05 11:45:00","Glencoe","PM","252504","1100","100","15","Meall a' Bhuiridh","-2.20","240.00","15.00","60","0 - None","1","140","25.00","0","0","-3.00","247","18","Considerable -","Considerable -","4400","1.00","3","308","0","20","0","1","0","-1.90","",
"2018-04-04 12:10:00","Glencoe","PM","253502","1080","200","30","Meall a Bhuiridh","-2.70","30.00","3.00","100","8 - Snow","1","200","75.00","0","0","-5.00","45","31","Considerable -","Considerable -","4400","1.00","3","300","0","20","0","1","0","-3.00","Light, dry new snowfall. Pit not to ground and no failure @ 70cms.",
"2018-04-03 11:30:00","Glencoe","PM","252503","1100","250","35","Meall a Bhuiridh","-3.90","90.00","2.00","100","4 - Light Showers","1","110","20.00","0","0","-4.00","90","22","Moderate","Considerable -","0","0.70","3","296","0","20","0","1","0","-3.50","",
