Date, Area, Obs, Grid, Alt, Aspect, Incline, Location, Air Temp, Wind Dir, Wind Speed, Cloud, Precip Code, Drift, Total Snow Depth, Foot Pen, Ski Pen, Rain at 900, Summit Air Temp, Summit Wind Dir, Summit Wind Speed, Observed aval. hazard, Forecast aval. hazard, Avalanche Code, Max Temp Grad, Max Hardness Grad, No Settle, Snow Index, Insolation, Crystals, Wetness, AV Cat, Snow Temp, Comments
"2013-05-05 13:00:00","Glencoe","PM","192549","900","350","27","Stob coire Raineach","6.20","200.00","18.00","100","0 - None","0","80","15.00","","1","4.30","225","43","Moderate","Moderate","0","0.00","1","288","","15","","","","0.00","wet, spring snowpack",
"2013-05-04 12:40:00","Glencoe","PM","217543","890","35","38","Coire na Tulaich","1.10","190.00","15.00","100","2 - Trace","1","100","1.00","","1","-1.00","231","27","Moderate","Moderate","0","0.00","3","288","","15","","","","0.00","",
"2013-05-03 12:00:00","Glencoe","BF","217544","750","72","20","Buachaille Etive Mor","3.40","","0.00","100","0 - None","0","110","2.00","","1","0.00","34","220","Moderate","Considerable -","0","0.00","1","284","0","20","0","2","","0.00","Wet day. Spring snowpack.",
"2013-04-27 11:50:00","Glencoe","BF","250504","1090","250","25","Meall a Bhuiridh","-1.90","340.00","10.00","60","0 - None","1","95","10.00","","0","-2.60","","19","Moderate","Considerable -","0","0.00","2","284","0","20","5","1","","-1.90","Moderate failure at 39cm.",
"2013-04-26 12:00:00","Glencoe","BF","184541","900","100","15","Buachaille Etive Beag","0.10","300.00","10.00","90","4 - Light Showers","1","130","10.00","","0","-2.50","253","25","Moderate","Moderate","0","0.00","1","284","4","20","5","1","","0.00","Moderate shear at 27cm.",
"2013-04-19 12:00:00","Glencoe","PM","252504","1030","360","43","Meall a Bhuiridh","-1.10","210.00","1.00","20","0 - None","0","100","0.00","0","0","-0.70","200","6","Low","Low","0","0.00","4","280","","20","","","","-4.80","Icy surface layer",
"2013-04-13 12:20:00","Glencoe","PM","252505","1080","15","28","Meall a Bhuiridh","-0.90","290.00","15.00","100","2 - Trace","1","100","25.00","","0","-1.60","121","9","Considerable -","High","0","0.00","3","280","","20","","","","-0.40","nil",
"2013-04-12 12:40:00","Glencoe","PM","249505","1060","310","34","Meall a Bhuiridh","0.10","80.00","4.00","100","4 - Light Showers","1","110","30.00","","0","0.00","146","12","Considerable -","Considerable +","0","0.00","3","278","282","20","","","","-0.50","New soft slab",
"2013-04-11 12:00:00","Glencoe","PM","249504","1060","320","30","Meall a Bhuiridh","-2.70","130.00","8.00","100","4 - Light Showers","1","120","25.00","","0","-2.50","150","17","Considerable -","Considerable -","0","0.00","3","278","","20","","","","-1.30","nil",
"2013-04-10 11:30:00","Glencoe","BF","248503","1040","330","25","Meall a Bhuiridh","-2.60","260.00","3.00","100","4 - Light Showers","0","105","10.00","","0","-2.70","173","13","Considerable -","Considerable -","4400","0.00","2","274","4","20","10","1","","-2.20","Moderate shears at 39cm",
"2013-04-09 12:30:00","Glencoe","KM","238508","1050","330","25","Creise","-4.70","90.00","20.00","75","0 - None","1","85","10.00","","0","-4.80","148","20","Considerable -","Considerable -","0","0.00","2","270","0","20","10","1","","-5.70","Failures at 15cm and 31cm.",
"2013-04-08 12:15:00","Glencoe","PM","249504","1060","330","30","Meall a Bhuiridh","-6.10","140.00","12.00","100","2 - Trace","1","60","20.00","","0","-4.90","157","14","Moderate","Moderate","0","0.00","3","270","","20","","","","-4.00","mixed forms developing again",
"2013-04-07 13:15:00","Glencoe","PM","250504","1070","315","35","Meall a Bhuiridh","-1.40","40.00","13.00","100","","1","60","16.00","","0","-1.20","225","18","Considerable -","Moderate","0","0.00","2","268","","20","","","","-0.30","",
"2013-04-06 12:30:00","Glencoe","PM","250504","1060","340","30","Meall a Bhuiridh","-2.40","270.00","8.00","50","0 - None","0","50","15.00","","0","-3.20","223","4","Considerable -","Considerable -","0","0.00","2","266","","20","","","","-5.00","layered slab persists",
"2013-04-05 12:30:00","Glencoe","PM","249504","1065","345","32","Meall a bhuiridh","-3.50","40.00","2.00","25","0 - None","1","70","10.00","","0","-0.80","93","9","Considerable -","Considerable -","0","0.00","3","266","","20","","","","-5.80","failures @ 8cm, 25cm and 45cms",
"2013-04-04 12:15:00","Glencoe","PM","252503","1050","220","38","Meall a Bhuiridh","-4.60","45.00","4.00","10","0 - None","1","60","21.00","","0","-3.20","117","10","Considerable -","Considerable -","0","0.00","4","266","","20","","","","-4.50","",
"2013-04-03 12:25:00","Glencoe","PM/MR","249502","1030","315","45","Meall a Bhuiridh","-2.50","90.00","1.00","30","0 - None","1","200","20.00","","0","-3.50","161","8","Considerable -","Considerable -","0","0.00","4","266","","20","","","","-8.00","pit dug close to previous avalanche crown wall.",
"2013-04-02 12:40:00","Glencoe","PM","250505","1040","310","35","Meall a Bhuiridh","-3.90","120.00","15.00","60","0 - None","1","80","18.00","","0","-4.40","118","13","Considerable -","Considerable -","0","0.00","2","266","","20","","","","-3.80","failures @ 8cm and 37cms",
"2013-04-01 13:00:00","Glencoe","BF KM","248503","1040","320","40","Meall a Bhuiridh","-5.40","142.00","22.00","25","0 - None","0","","10.00","","0","-6.90","150","5","Considerable -","Considerable -","0","0.00","2","266","0","20","10","1","","-5.70","Crown wall profile.Easy shear at 62cm. Moderate shear at 39cm",
"2013-03-31 13:25:00","Glencoe","KM","249503","1070","310","25","Meall a' Bhuiridh: top of NW Face","-4.10","160.00","10.00","90","0 - None","0","","10.00","","0","-5.50","","","Considerable -","Considerable -","0","0.00","3","266","0","12","10","1","","-7.20","Failures at 26cm and 42cm.",
"2013-03-30 12:35:00","Glencoe","KM","180536","900","340","30","Buachaille Etive Beag: Stob Dubh","-3.80","90.00","5.00","30","0 - None","0","75","10.00","","0","-5.50","","","Considerable -","Considerable -","1012","0.00","3","266","0","12","10","1","","-7.60","Failure at 30cm.",
