Date, Area, Obs, Grid, Alt, Aspect, Incline, Location, Air Temp, Wind Dir, Wind Speed, Cloud, Precip Code, Drift, Total Snow Depth, Foot Pen, Ski Pen, Rain at 900, Summit Air Temp, Summit Wind Dir, Summit Wind Speed, Observed aval. hazard, Forecast aval. hazard, Avalanche Code, Max Temp Grad, Max Hardness Grad, No Settle, Snow Index, Insolation, Crystals, Wetness, AV Cat, Snow Temp, Comments
"2015-05-03 11:45:00","Lochaber","BF","168718","830","360","20","By Douglas Boulder, Ben Nevis","0.00","140.00","30.00","100","8 - Snow","1","250","13.00","0","0","-2.00","135","30","Considerable -","Considerable -","4400","0.10","2","390","8","16","0","1","-1","0.00","Moderate shear at 25cm ",
"2015-05-02 13:44:00","Lochaber","BF","189743","1050","340","20","Top of Goose, Aonach Mor","-1.00","160.00","10.00","100","2 - Trace","1","135","15.00","0","0","-2.00","160","10","Moderate","Moderate","0","0.80","2","382","2","16","0","1","-1","-2.00","Moderate shears at 11cm and 25cm ",
"2015-05-01 13:00:00","Lochaber","GM","168741","1100","310","10","Aonach Mor","-1.00","0.00","0.00","30","0 - None","0","150","10.00","0","0","-3.00","90","15","Moderate","Moderate","0","0.80","2","380","0","20","-1","0","-1","-3.00","",
"2015-04-18 11:00:00","Lochaber","GM","195747","1050","90","35","Aonach Mor  ","6.00","0.00","0.00","0","0 - None","0","70","30.00","20","0","4.80","198","5","Low","Low","0","0.00","1","380","0","20","0","1","-1","-1.00","Stable snowpack",
"2015-04-17 12:00:00","Lochaber","GM","167719","850","0","25","Ben Nevis","5.20","0.00","0.00","10","0 - None","0","40","5.00","0","0","2.70","163","8","Low","Low","0","0.00","2","380","0","20","0","2","-1","0.00","Stable snowpack",
"2015-04-16 12:00:00","Lochaber","GM","167735","900","280","10","Carn Dearg Beag","2.00","225.00","10.00","50","0 - None","0","50","2.00","0","0","-0.10","251","12","Low","Low","-1","0.30","2","380","0","20","0","0","-1","0.30","Generally stable snowpack",
"2015-04-15 11:00:00","Lochaber","GM","193738","1200","330","5","Aonach Mor  ","-1.50","270.00","10.00","100","0 - None","0","40","0.00","0","0","-1.60","243","36","Low","Low","0","","2","380","0","20","0","0","-1","-1.00","Stable snowpack. No snow temperatures due to broken thermometer",
"2015-04-14 12:10:00","Lochaber","KM","171716","900","40","35","Ben Nevis: base NE Buttress","4.00","270.00","20.00","100","","0","165","15.00","0","1","3.20","227","47","Considerable -","Moderate","8800","0.00","1","380","0","20","0","2","-1","0.00","",
"2015-04-13 12:35:00","Lochaber","KM","196747","975","80","35","Aonach Mor: Coire Dubh","0.00","200.00","15.00","100","0 - None","1","190","25.00","0","0","-1.60","241","25","Considerable -","Considerable -","0","1.00","2","380","0","20","5","1","-1","-1.00","Failures at 13cm, 25cm and 37cm.",
"2015-04-12 12:20:00","Lochaber","PH","195752","975","350","30","Aonach an Nid","-0.20","260.00","20.00","70","6 - Snow Showers","1","250","20.00","0","0","-2.30","237","36","Considerable +","Considerable +","0","0.60","2","380","6","20","-1","1","-1","-0.20","",
"2015-04-11 12:35:00","Lochaber","KM","194746","1080","60","20","Aonach Mor: Aonach an Nid","-2.40","240.00","30.00","100","6 - Snow Showers","1","115","25.00","0","0","-3.90","229","27","Considerable -","Considerable -","4400","0.80","2","374","6","20","5","1","-1","-2.30","Failures at 9cm (easy), 20cm (easy) and 34cm.",
"2015-04-10 12:30:00","Lochaber","KM","195746","1000","130","37","Aonach Mor: Coire Dubh","6.00","230.00","20.00","10","0 - None","0","120","15.00","0","0","4.00","230","35","Moderate","Considerable -","0","0.00","1","368","0","20","0","2","-1","0.00","",
"2015-04-09 12:20:00","Lochaber","BF","169721","750","250","20","Ben Nevis","6.00","120.00","10.00","5","0 - None","0","230","4.00","0","0","5.00","225","32","Moderate","Moderate","0","0.00","2","368","0","20","0","2","-1","0.00","Spring snowpack. ",
"2015-04-08 12:00:00","Lochaber","BF","194730","1210","80","20","Top of Spikes Gully, Aonach Mor","2.80","200.00","15.00","70","0 - None","0","115","5.00","0","0","2.50","215","18","Moderate","Moderate","0","0.00","0","368","0","20","0","1","-1","0.00","Isothermal spring snowpack. ",
"2015-04-07 12:50:00","Lochaber","BF","196742","1010","30","35","Climber's Col, Aonach Mor","3.50","60.00","2.00","100","0 - None","0","300","13.00","0","0","3.00","245","29","Moderate","Moderate","0","0.00","1","368","0","16","0","2","-1","0.00","Isothermal spring snowpack",
"2015-04-06 13:30:00","Lochaber","GM","195734","1150","80","30","Aonach Mor","5.00","0.00","0.00","50","0 - None","0","80","20.00","10","0","4.00","238","12","Moderate","Moderate","0","0.00","1","368","368","20","0","-1","-1","0.00","",
"2015-04-05 13:00:00","Lochaber","GM","168719","900","30","25","Ben Nevis","7.60","0.00","0.00","0","0 - None","0","50","30.00","0","0","8.00","289","10","Moderate","Moderate","0","0.00","1","368","0","20","0","1","-1","0.00","",
"2015-04-04 13:00:00","Lochaber","GM","195751","900","80","35","Aonach Mor","4.00","270.00","15.00","100","0 - None","0","350","15.00","10","0","2.50","303","12","Moderate","Moderate","0","0.10","2","368","0","20","0","2","-1","0.00","Moderate to Hard shears at 10cm, 45cm, 60co and 70cm",
"2015-04-03 12:25:00","Lochaber","GM","195751","900","80","35","Aonach Mor","1.00","45.00","10.00","100","0 - None","0","350","10.00","5","0","0.30","193","17","Moderate","Moderate","0","0.60","2","368","368","20","0","1","-1","-0.10","Moderate shears at 17cm and 30cm",
"2015-04-02 12:10:00","Lochaber","BF","194734","1210","100","15","Top of Spikes Gully, Aonach Mor","1.20","140.00","1.00","30","4 - Light Showers","0","205","4.00","0","0","1.00","242","17","Considerable -","Moderate","2014","0.80","1","368","4","16","0","1","-1","-2.40","Moderate shear @ 14cm",
"2015-04-01 12:45:00","Lochaber","GM","187746","890","45","10","Aonach Mor","-1.50","270.00","30.00","100","6 - Snow Showers","1","90","50.00","25","0","-2.50","260","28","Considerable -","Considerable +","0","1.00","3","364","6","20","0","0","-1","-0.80","Failures at 10cm, 20cm and 45cm",
"2015-03-31 11:00:00","Lochaber","BF","188741","1110","350","15","Aonach Mor","-4.00","280.00","20.00","100","8 - Snow","1","270","20.00","0","0","-4.50","252","35","Considerable +","Considerable -","8800","1.90","2","358","8","12","0","1","-1","-3.80","Easy shear at 18cm ",
"2015-03-30 12:00:00","Lochaber","GM","188748","870","320","5","Aonach Mor","-1.80","240.00","30.00","100","6 - Snow Showers","1","60","20.00","10","0","-2.20","253","28","Considerable -","Considerable +","0","0.60","0","350","6","12","0","0","-1","-2.80","Easy shear at 15cm",
"2015-03-29 12:45:00","Lochaber","BF","194734","1210","100","15","Top of Spikes Gully, Aonach Mor","-2.00","280.00","10.00","100","6 - Snow Showers","1","300","10.00","0","0","-1.50","280","10","Moderate","Considerable -","0","0.40","1","346","6","12","0","1","-1","-2.00","Easy shear at 9cm and 15cm ",
"2015-03-28 11:30:00","Lochaber","GM","153734","540","80","15","Ben Nevis","6.20","225.00","40.00","100","0 - None","0","50","20.00","0","1","2.50","214","39","Moderate","Considerable -","0","0.00","1","340","0","12","0","1","-1","0.00","Wet snowpack",
