Date, Area, Obs, Grid, Alt, Aspect, Incline, Location, Air Temp, Wind Dir, Wind Speed, Cloud, Precip Code, Drift, Total Snow Depth, Foot Pen, Ski Pen, Rain at 900, Summit Air Temp, Summit Wind Dir, Summit Wind Speed, Observed aval. hazard, Forecast aval. hazard, Avalanche Code, Max Temp Grad, Max Hardness Grad, No Settle, Snow Index, Insolation, Crystals, Wetness, AV Cat, Snow Temp, Comments
"2015-05-03 12:15:00","Northern Cairngorms","KG/MD","996050","850","340","38","Top of gun barrel","0.00","140.00","30.00","100","8 - Snow","1","300","5.00","0","0","-1.00","-1","-1","Considerable +","Considerable -","8800","0.60","1","372","8","20","5","1","-1","-0.50","no ground",
"2015-05-02 12:45:00","Northern Cairngorms","KG","002048","1020","300","28","Coronation wall","-1.00","120.00","15.00","100","4 - Light Showers","1","60","45.00","4","0","-1.00","-1","-1","Considerable -","Considerable -","3013","1.10","3","364","4","20","5","1","-1","-2.00","3 avalanches on the headwall around midday.  2 triggered, one unknown.  Shooting cracks underfoot at pit site",
"2015-05-01 11:45:00","Northern Cairngorms","KG","004047","1110","200","20","S side Cnap Coire na Spreidhe","-2.00","80.00","5.00","98","4 - Light Showers","0","95","5.00","0","0","-1.00","-1","-1","Moderate","Considerable -","0","1.80","3","360","6","20","5","1","-1","-2.00","",
"2015-04-18 12:00:00","Northern Cairngorms","KG/MD/ND","016033","850","90","35","The Saddle","7.30","20.00","5.00","20","0 - None","0","80","15.00","0","0","-1.00","-1","-1","Low","Low","0","0.00","3","354","0","20","0","1","-1","0.00","Size 3 full depth natural slab avalanche near pit site possibly happened the day before (17th April) ",
"2015-04-17 12:30:00","Northern Cairngorms","KG","001022","1035","160","25","Top Diagonal Gully","4.80","160.00","3.00","95","0 - None","0","60","6.00","0","0","-1.00","-1","-1","Low","Low","0","0.00","3","354","0","20","0","2","-1","0.00","Glide cracks at the top of the gully",
"2015-04-16 11:30:00","Northern Cairngorms","MD","011042","1135","90","28","Cairngorm E side","0.50","0.00","0.00","60","0 - None","0","400","15.00","0","0","0.50","0","0","Low","Low","0","0.00","3","354","2","20","0","1","-1","0.00","Isothermic and firm snowpack",
"2015-04-15 11:00:00","Northern Cairngorms","MD","014052","1068","100","35","Cnap Coire na Spreidhe","0.00","290.00","30.00","50","0 - None","0","400","15.00","0","0","-1.00","300","30","Moderate","Low","0","0.00","1","354","0","20","0","1","-1","0.00","isothermic but mod weakness in wet layer",
"2015-04-14 11:15:00","Northern Cairngorms","MD","997042","1026","40","25","Chais Ridge E","4.50","280.00","20.00","100","0 - None","0","400","-1.00","0","1","3.00","245","45","Moderate","Moderate","0","0.00","1","352","2","20","0","2","-1","0.00","Isothermal but moderate fail with soft snow on old",
"2015-04-13 11:15:00","Northern Cairngorms","MD","014052","1060","60","30","Cnap Coire na Spreidhe","-1.00","140.00","15.00","75","2 - Trace","1","400","30.00","0","1","-1.00","220","45","Considerable -","Considerable -","0","1.80","1","352","2","20","5","1","-1","-2.40","Some weak layers",
"2015-04-12 12:00:00","Northern Cairngorms","KG/CL","008045","1050","70","35","Marquis Well area","-2.80","280.00","25.00","50","6 - Snow Showers","1","145","40.00","0","0","-1.00","-1","-1","Considerable -","Considerable -","0","1.20","3","346","6","20","5","1","-1","-2.90","fail @7cm, 11cm,19cm. ",
"2015-04-11 11:30:00","Northern Cairngorms","KG/AG","997043","1000","40","30","Chais ridge ","-2.50","340.00","25.00","90","6 - Snow Showers","1","270","25.00","0","0","-1.00","-1","-1","Moderate","Considerable -","0","1.10","3","340","346","20","5","1","-1","-0.20","",
"2015-04-10 13:00:00","Northern Cairngorms","KG/HM","998042","1050","20","35","Chais ridge ","7.00","200.00","25.00","60","0 - None","0","265","5.00","0","0","-1.00","-1","-1","Moderate","Moderate","0","0.00","2","340","0","20","0","2","-1","0.00","",
"2015-04-09 12:30:00","Northern Cairngorms","KG/AG","012043","1090","145","30","SE side Cairngorm","8.40","270.00","10.00","0","0 - None","0","135","15.00","5","0","-1.00","-1","-1","Moderate","Moderate","0","0.00","3","340","0","20","0","2","-1","0.00","",
"2015-04-08 11:55:00","Northern Cairngorms","KG/AG","994032","960","330","28","Below Aladdin's Buttress","4.30","250.00","20.00","5","0 - None","0","145","10.00","0","0","-1.00","-1","-1","Moderate","Moderate","0","0.00","2","340","0","20","0","2","-1","0.00","",
"2015-04-07 11:30:00","Northern Cairngorms","KG","014052","1062","70","35","Cnap Coire na Spreidhe","3.20","260.00","30.00","70","0 - None","0","340","28.00","0","0","-1.00","-1","-1","Moderate","Moderate","0","0.10","2","340","0","20","0","2","-1","0.00","",
"2015-04-06 12:15:00","Northern Cairngorms","KG","997043","1000","40","30","Chais Ridge ","7.50","320.00","5.00","40","0 - None","0","180","20.00","0","0","5.40","-1","-1","Moderate","Moderate","0","0.00","3","340","0","20","5","2","-1","0.00","",
"2015-04-05 11:15:00","Northern Cairngorms","KG","","-1","120","33","SE side of Cairngorm","4.10","320.00","10.00","5","0 - None","0","135","25.00","4","0","-1.00","-1","-1","Moderate","Moderate","0","0.80","2","340","0","20","5","2","-1","-0.20","",
"2015-04-04 11:45:00","Northern Cairngorms","MD.ND","997042","1021","70","32","Chais Ridge E","1.50","200.00","5.00","100","0 - None","0","290","20.00","0","1","2.00","270","20","Moderate","Moderate","0","0.20","1","340","0","20","5","1","-1","0.00","Stabilising snowpack, moist. Not to ground",
"2015-04-03 11:40:00","Northern Cairngorms","MD","014052","1062","80","32","Cnap Coire na Spreidhe","1.00","120.00","5.00","100","2 - Trace","0","400","40.00","0","0","1.00","135","10","Considerable -","Moderate","0","1.60","1","340","2","20","5","1","-1","-0.60","not to ground. moderate weaknesses",
"2015-04-02 11:50:00","Northern Cairngorms","MD","012042","1092","140","33","Cairngorm SE","-1.50","160.00","5.00","100","0 - None","0","110","50.00","0","0","-2.00","140","10","Considerable -","Considerable -","0","2.30","3","340","2","16","15","1","-1","-1.30","Weak layers present in deeper snowpack areas.",
"2015-04-01 13:33:00","Northern Cairngorms","KG","997043","990","50","25","Chais Ridge ","-2.50","300.00","25.00","100","8 - Snow","1","80","40.00","0","0","-5.00","-1","-1","Considerable -","Considerable +","8800","1.00","3","332","8","20","5","1","-1","-3.10","",
"2015-03-31 13:12:00","Northern Cairngorms","KG/MD","997042","1004","40","30","Chais Ridge","-3.50","270.00","20.00","100","6 - Snow Showers","1","240","25.00","0","0","-6.00","-1","-1","Considerable +","Considerable +","8800","1.10","2","324","6","12","5","1","-1","-2.50","",
"2015-03-30 11:30:00","Northern Cairngorms","KG","012043","1090","140","28","SE side of Cairngorm","-2.90","250.00","25.00","60","0 - None","1","185","18.00","0","0","-4.60","-1","-1","Considerable -","Considerable +","0","1.20","2","318","6","12","5","2","-1","-1.90","",
"2015-03-29 11:40:00","Northern Cairngorms","KG/AG","002042","1080","280","30","Chais Headwall","-1.70","240.00","15.00","100","2 - Trace","1","55","6.00","0","0","-2.00","-1","-1","Moderate","Considerable -","0","0.20","4","312","4","12","5","1","-1","-0.20","fail @ 5cm. Graupel and small facceted grains",
"2015-03-28 12:30:00","Northern Cairngorms","KG/AG","991032","975","70","270","Fiacaill Sneachda","3.80","70.00","35.00","90","0 - None","0","140","10.00","0","0","2.00","-1","-1","Considerable -","Considerable -","0","0.50","3","308","6","12","5","10","-1","0.00","wet snow instabilities observed on NW to N aspects at 1000m",
