Date, Area, Obs, Grid, Alt, Aspect, Incline, Location, Air Temp, Wind Dir, Wind Speed, Cloud, Precip Code, Drift, Total Snow Depth, Foot Pen, Ski Pen, Rain at 900, Summit Air Temp, Summit Wind Dir, Summit Wind Speed, Observed aval. hazard, Forecast aval. hazard, Avalanche Code, Max Temp Grad, Max Hardness Grad, No Settle, Snow Index, Insolation, Crystals, Wetness, AV Cat, Snow Temp, Comments
"2015-04-18 11:30:00","Southern Cairngorms","SN","169,78","920","44","25","Garbh-choire","8.20","90.00","5.00","10","0 - None","0","65","5.00","0","0","-1.00","-1","-1","Low","Low","0","0.00","1","284","0","20","0","1","-1","0.00","",
"2015-04-17 10:00:00","Southern Cairngorms","SN","245858","1135","40","25","Top of Black Spout Pinnacle, Lochnagar","1.10","40.00","2.00","100","0 - None","0","65","2.00","0","0","-1.00","-1","-1","Low","Low","0","0.00","1","284","0","20","0","1","-1","-0.10","",
"2015-04-16 11:30:00","Southern Cairngorms","SN","171768","1000","90","25","East Face, Glas Maol","2.20","170.00","5.00","90","0 - None","0","195","4.00","0","0","-1.00","-1","-1","Low","Low","0","0.10","3","284","0","20","0","1","-1","0.00","",
"2015-04-15 10:45:00","Southern Cairngorms","SN","161770","960","10","35","Coire Fionn, Glas Maol","2.30","280.00","20.00","70","0 - None","0","260","30.00","0","0","-1.00","-1","-1","Moderate","Low","0","0.00","1","284","0","20","0","1","-1","0.00","",
"2015-04-14 11:15:00","Southern Cairngorms","KG/AG","134777","840","40","28","Cairnwell","5.00","230.00","25.00","100","","0","55","4.00","0","1","-1.00","-1","-1","Moderate","Moderate","0","0.00","2","284","0","20","0","10","-1","0.00","",
"2015-04-13 11:30:00","Southern Cairngorms","KG/AG","160771","950","30","38","Meall Odhar","3.00","200.00","10.00","80","0 - None","1","280","15.00","0","0","-1.00","-1","-1","Moderate","Moderate","0","1.20","2","284","2","20","5","1","-1","-1.00","fail @ 35cm",
"2015-04-12 12:10:00","Southern Cairngorms","PN","135773","910","70","24","The Cairnwell, E aspect.","0.40","220.00","6.00","60","0 - None","0","95","29.00","0","0","-1.00","-1","-1","Moderate","Moderate","0","0.30","3","282","0","20","0","1","-1","-0.10","",
"2015-04-11 12:30:00","Southern Cairngorms","PN","211848","950","30","34","t-Saigairts Col. ","0.00","270.00","10.00","50","2 - Trace","0","220","11.00","0","0","-1.00","-1","-1","Low","Moderate","0","0.60","3","282","2","20","-1","1","-1","-0.20","Isolated pockets of new snow. Not very deep.",
"2015-04-10 12:15:00","Southern Cairngorms","PN","132792","880","45","26","Carn Aosda Corrie","8.10","5.00","8.00","30","0 - None","0","220","4.00","0","0","-1.00","-1","-1","Low","Moderate","0","0.00","3","280","0","20","0","2","-1","0.00","",
"2015-04-09 12:00:00","Southern Cairngorms","PN","169781","920","45","30","Cairn of Claise, Garbh Corrie.","5.60","190.00","14.00","10","0 - None","0","180","9.00","0","0","-1.00","-1","-1","Low","Low","0","0.00","2","280","0","20","0","1","-1","0.00","",
"2015-04-08 12:15:00","Southern Cairngorms","PN","958921","1100","140","26","Beinn Bhrotain, Corrie t-Snechda","5.80","200.00","12.00","50","0 - None","0","90","7.00","0","0","-1.00","-1","-1","Low","Low","0","0.00","2","280","0","20","0","0","-1","0.00","",
"2015-04-07 12:10:00","Southern Cairngorms","PN","170770","980","100","24","Glas Maol, E face.","5.30","280.00","14.00","70","0 - None","0","95","7.00","0","0","-1.00","-1","-1","Low","Low","0","0.00","3","280","0","20","0","0","-1","0.00","Overcast with high, light clouds.",
"2015-04-06 12:15:00","Southern Cairngorms","PN","245861","1100","60","26","Lochnagar summit","7.50","255.00","11.00","20","0 - None","0","80","7.00","0","0","-1.00","-1","-1","Low","Low","0","0.00","1","280","0","20","0","2","-1","0.00","",
"2015-04-05 12:00:00","Southern Cairngorms","PN","209846","1000","50","330","Carn an t-Saigart Beag, NE aspect.","12.10","330.00","4.00","10","0 - None","0","80","11.00","0","0","-1.00","-1","-1","Moderate","Low","0","0.00","2","280","0","20","0","0","-1","0.00","A sunny and mild day.",
"2015-04-04 12:58:00","Southern Cairngorms","PN","136775","920","40","26","The Cairnwell.NE slope","-1.00","300.00","4.00","100","0 - None","0","75","17.00","0","1","-1.00","-1","-1","Moderate","Moderate","0","0.00","1","280","0","20","0","1","-1","0.00","Snow diminishing at lower levels.",
"2015-04-03 12:15:00","Southern Cairngorms","PN","250856","920","30","25","Lochnagar, crag apron","-1.00","100.00","5.00","100","4 - Light Showers","0","105","21.00","0","0","-1.00","-1","-1","Considerable -","Considerable -","0","0.80","1","280","4","20","0","1","-1","-0.80","Very poor visibility. Easy shears achieved.",
"2015-04-02 12:00:00","Southern Cairngorms","PN","170772","930","90","24","Glas Maol, E face.","2.10","340.00","6.00","60","0 - None","1","-1","13.00","0","0","-1.00","-1","-1","Considerable -","Considerable -","2011","2.30","2","276","0","20","0","1","-1","-2.60","Poss snow overnight. Winds NNW. Multi layered snow, easy shears. ",
"2015-04-01 12:15:00","Southern Cairngorms","PN","157774","900","80","24","Corrie Fionn","-2.80","280.00","12.00","95","8 - Snow","1","105","40.00","0","0","-1.00","-1","-1","Considerable +","Considerable +","8800","1.30","4","276","8","20","0","1","-1","-1.50","Not the deepest area of drifting. E aspects have large new deep accumulations.",
"2015-03-31 11:45:00","Southern Cairngorms","PN","131791","880","50","30","Carn Aosda Corrie","-2.10","340.00","8.00","95","6 - Snow Showers","0","245","14.00","0","0","-1.00","-1","-1","Considerable -","Considerable +","8800","0.30","2","268","6","12","0","0","-1","-0.50","Very windy. Number of surface instabilities noted on different NE/E slopes.",
"2015-03-30 12:45:00","Southern Cairngorms","PN","245860","1100","90","34","Carn Cac Beag, East slopes.","-3.30","250.00","11.00","70","0 - None","1","60","9.00","0","0","-1.00","-1","-1","Moderate","Considerable -","0","0.80","2","262","0","12","0","0","-1","-0.80","Occasional and very light drifting.",
"2015-03-29 12:00:00","Southern Cairngorms","PN","160770","920","40","26","Corrie Fionn","1.20","290.00","6.00","95","4 - Light Showers","0","255","14.00","0","0","-1.00","-1","-1","Considerable -","Considerable -","0","0.00","3","262","4","12","0","1","-1","0.00","Some snow early afternoon. ",
"2015-03-28 11:45:00","Southern Cairngorms","PN","247860","900","90","27","Lochnagar Corrie","3.00","355.00","9.00","85","","0","105","14.00","0","1","-1.00","-1","-1","Considerable +","Considerable -","4011","0.50","3","258","-1","12","0","2","-1","-0.20","Mild in the Corrie. Ice collapsing at times.",
"2015-03-27 12:30:00","Southern Cairngorms","PN","171769","960","90","30","East face, Glas Maol","0.20","315.00","5.00","70","4 - Light Showers","1","385","9.00","0","0","-1.00","-1","-1","Moderate","Considerable +","0","4.10","3","258","4","12","5","1","-1","-4.30","New snowfall overnight and during the day. ",
"2015-03-26 12:00:00","Southern Cairngorms","PN","160770","920","35","26","Corrie Fionn","0.50","280.00","4.00","100","8 - Snow","1","320","25.00","0","0","-1.00","-1","-1","Moderate","Moderate","0","0.30","5","254","262","16","0","1","-1","-0.40","",
"2015-03-25 12:00:00","Southern Cairngorms","PN","245865","860","20","30","Hiodden Corrie, Lochnagar.","1.30","5.00","8.00","70","0 - None","0","100","3.00","0","0","-1.00","-1","-1","Low","Moderate","0","0.00","3","254","0","16","0","1","-1","0.00","New snow not to deep. Was thawing quickly.",
"2015-03-24 11:45:00","Southern Cairngorms","PN","242816","900","50","30","Broad Cairn","2.90","320.00","8.00","80","2 - Trace","0","100","1.00","0","0","-1.00","-1","-1","Low","Low","0","0.30","2","254","2","16","-1","1","-1","0.00","Full depth avalanche near here. Snow firm and icy.",
"2015-03-23 12:00:00","Southern Cairngorms","PN","122774","860","115","30","Carn Nan Sac, Corrie Direch ","4.80","130.00","6.00","60","0 - None","0","50","6.00","0","1","-1.00","-1","-1","Low","Low","0","0.00","3","252","-1","15","0","1","-1","-1.00","Good visibility but some rain at all levels. Continues to thaw.",
"2015-03-22 12:40:00","Southern Cairngorms","PN","249858","900","25","26","Lochnagar, above Loch, near avalanche tip.","5.80","150.00","10.00","100","0 - None","0","85","5.00","0","0","-1.00","-1","-1","Low","Moderate","0","0.00","2","252","0","12","0","1","-1","0.00","",
