Date, Area, Obs, Grid, Alt, Aspect, Incline, Location, Air Temp, Wind Dir, Wind Speed, Cloud, Precip Code, Drift, Total Snow Depth, Foot Pen, Ski Pen, Rain at 900, Summit Air Temp, Summit Wind Dir, Summit Wind Speed, Observed aval. hazard, Forecast aval. hazard, Avalanche Code, Max Temp Grad, Max Hardness Grad, No Settle, Snow Index, Insolation, Crystals, Wetness, AV Cat, Snow Temp, Comments
"2018-04-14 10:47:00","Torridon","AC","942567","300","142","26","Liathach","13.10","175.00","3.00","5","0 - None","0","0","0.00","0","0","4.00","203","18","Low","Low","0","","","256","0","20","0","2","0","0.00","No snow at location.",
"2018-04-13 10:52:00","Torridon","AC","942567","300","129","33","Liathach","7.40","81.00","12.00","100","2 - Trace","0","0","0.00","0","0","2.00","113","21","Low","Low","0","","","254","0","20","0","2","0","0.00","",
"2018-04-12 10:36:00","Torridon","AC","146785","343","305","26","The Fain, Fannaichs","8.30","118.00","18.00","5","0 - None","0","0","0.00","0","0","4.00","113","40","Low","Low","0","","","254","0","20","0","2","0","0.00","No snow at current location.",
"2018-04-11 11:52:00","Torridon","AC","975526","316","181","35","Beinn Eighe","7.40","66.00","12.00","60","0 - None","0","0","0.00","0","0","4.00","113","23","Low","Low","0","","","254","0","20","0","1","0","0.00","No snow at location.",
"2018-04-10 10:32:00","Torridon","AC","227752","489","20","22","Meall Breac, Fannaichs","2.90","149.00","14.00","100","2 - Trace","0","54","2.00","0","0","0.00","113","33","Low","Low","0","0.00","2","252","0","20","0","2","0","0.00","Several thin icy layers identified within the snowpack.",
"2018-04-09 10:36:00","Torridon","AC","238761","310","221","14","Meall Leacachain, Fannaichs","7.50","339.00","4.00","95","0 - None","0","0","0.00","0","0","0.00","135","12","Low","Low","0","","","252","0","20","0","1","0","0.00","No snow at location. General observations made.",
"2018-04-08 11:04:00","Torridon","AC","024581","300","284","0","Carn Loisgte, Coulin","8.40","256.00","6.00","100","0 - None","0","0","0.00","0","0","1.00","247","7","Low","Low","0","","","252","0","20","0","1","0","0.00","No snow at location. General observations made.",
"2018-04-07 10:58:00","Torridon","AC","245770","610","89","26","Meall Leacachain, Fannaichs","5.10","243.00","9.00","100","4 - Light Showers","0","98","5.00","0","1","2.80","225","20","Moderate","Low","0","0.00","3","248","0","20","0","2","0","0.00","",
"2018-04-06 11:11:00","Torridon","AC","783422","732","275","28","Sgurr a' Chaorachain, Applecross","1.70","141.00","12.00","100","2 - Trace","0","128","15.00","0","0","1.50","135","34","Moderate","Moderate","0","0.00","2","246","0","20","0","1","0","0.00","",
"2018-04-05 11:09:00","Torridon","AC","936579","702","149","42","Toll a' Meitheach, Liathach","-0.30","8.00","2.00","60","0 - None","0","56","10.00","0","0","-2.90","315","8","Moderate","Moderate","0","0.00","2","246","0","20","0","1","0","0.00","",
"2018-04-04 11:34:00","Torridon","AC","967594","737","150","26","Coire an Laoigh, Beinn Eighe","-0.30","107.00","5.00","95","0 - None","0","108","20.00","0","0","-3.10","23","28","Moderate","Moderate","0","0.90","3","246","0","20","0","1","0","-0.10","",
"2018-04-03 10:05:00","Torridon","SA","779418","606","210","25","Sgurr a Chaorachain","-2.00","45.00","25.00","90","6 - Snow Showers","1","35","3.00","0","0","-5.00","60","29","Moderate","Moderate","0","1.00","3","240","0","20","0","1","0","-2.00","",
"2018-04-02 11:05:00","Torridon","SA","954597","750","200","36","Coinneach Mhor, (Beinn Eighe)","-2.00","100.00","20.00","80","0 - None","1","60","5.00","0","0","-6.00","90","37","Low","Moderate","0","1.00","4","240","0","20","0","1","0","-1.00","",
"2018-04-01 11:05:00","Torridon","SA","989608","698","90","31","Creag Dhubh (Beinn Eighe)","0.00","230.00","5.00","70","2 - Trace","1","89","3.00","0","0","-5.00","220","8","Moderate","Low","0","1.00","3","238","0","20","0","1","0","-3.00","",
"2018-03-31 12:35:00","Torridon","SA","967597","827","195","38","Spidean Coire nan Clach ","-1.00","80.00","15.00","70","4 - Light Showers","1","145","4.00","0","0","-5.00","50","24","Moderate","Moderate","0","0.00","3","234","0","12","0","1","0","-1.00","Not to ground.",
"2018-03-30 11:02:00","Torridon","AC","141765","581","40","36","Meall an t-Sithe, Fannaichs","-0.10","101.00","5.00","100","6 - Snow Showers","0","62","1.00","0","0","-1.80","90","20","Moderate","Moderate","0","0.00","4","228","0","12","0","1","0","0.00","",
