Date, Area, Obs, Grid, Alt, Aspect, Incline, Location, Air Temp, Wind Dir, Wind Speed, Cloud, Precip Code, Drift, Total Snow Depth, Foot Pen, Ski Pen, Rain at 900, Summit Air Temp, Summit Wind Dir, Summit Wind Speed, Observed aval. hazard, Forecast aval. hazard, Avalanche Code, Max Temp Grad, Max Hardness Grad, No Settle, Snow Index, Insolation, Crystals, Wetness, AV Cat, Snow Temp, Comments
"2014-03-15 11:30:00","Torridon","CB","970594","660","100","20","Coire Liath Mhor","5.10","90.00","40.00","100","8 - Snow","0","62","2.00","","1","4.40","285","36","Moderate","Moderate","0","0.00","1","62","","10","0","2","","0.00","Cooler temperatures overnight had formed a surface crust. Rising temperatures throughout Sat morning, freezing level above summits. Isothermal snowpack.",
"2014-03-14 12:00:00","Torridon","MD,AC","990607","670","360","32","Creag Dubh, Beinn Eighe","4.00","220.00","10.00","100","","0","60","35.00","","1","4.00","270","40","Moderate","Moderate","0","0.00","1","62","0","10","0","2","","0.00","isothermic",
"2014-02-22 11:10:00","Torridon","CB AC","970593","625","50","24","Coire Laoigh, Beinn Eighe","0.70","120.00","20.00","95","2 - Trace","0","102","20.00","","0","-2.00","225","48","Considerable -","Considerable +","1021","0.00","1","62","","8","0","2","","0.00","Numerous wet sloughs on East to South East aspects.",
"2014-02-21 12:20:00","Torridon","AC/CB","912568","560","100","28","Coire Allt An Tuillbha","2.40","160.00","20.00","100","6 - Snow Showers","0","50","15.00","","0","-2.00","195","38","Considerable -","Considerable -","0","0.00","3","60","6","8","0","2","","0.00","Very wet isothermal snowpack. Visible heavy drifting at higher elevations.",
"2014-02-20 11:40:00","Torridon","CB/AC","782417","550","140","25","Coire na Ba","1.70","260.00","5.00","100","6 - Snow Showers","1","60","30.00","","0","-2.00","215","27","Considerable -","Considerable +","3021","0.00","2","48","6","8","0","2","","0.00","",
"2014-02-19 11:30:00","Torridon","AC/SR","939580","","180","32","Access gully on Bidean Toll a Mhuic","0.30","135.00","10.00","50","0 - None","0","72","8.00","","0","-1.00","135","8","Moderate","Moderate","0","0.00","0","42","0","8","5","1","2","-0.10","",
"2014-02-18 11:35:00","Torridon","AC/SR","912571","750","193","30","Coire Allt an Tuil Bhan","1.10","90.00","5.00","100","2 - Trace","0","70","30.00","","0","-1.00","90","27","Moderate","Moderate","0","0.00","1","42","2","8","","1","","-0.10","",
"2014-02-17 11:30:00","Torridon","AC","970595","730","170","35","Coire Laoigh","-0.70","110.00","5.00","100","4 - Light Showers","1","120","8.00","","0","-3.00","135","15","Considerable -","Considerable -","0","0.00","5","40","","8","5","1","","-0.90","",
"2014-02-16 12:30:00","Torridon","AC/GM","991607","650","60","35","South-East Coire of Creag Dhubh","-0.40","270.00","5.00","20","","1","41","20.00","","0","-3.00","270","10","Considerable -","Considerable -","0","0.00","2","36","2","8","5","1","","-1.50","",
"2014-02-15 12:45:00","Torridon","GM/AC","937578","665","210","25","Coire Laith Mhor","0.20","90.00","5.00","100","4 - Light Showers","1","65","24.00","","0","-3.00","340","38","Considerable -","Considerable -","0","0.00","4","34","4","8","5","2","","0.00","",
"2014-02-14 13:00:00","Torridon","GM","861593","825","100","25","Tom na Gruagaich","0.40","90.00","5.00","100","0 - None","1","75","10.00","","0","-1.00","90","15","Considerable -","Considerable -","0","0.00","1","30","0","6","","2","","-0.40","Moderate shear at 30cm",
"2014-02-01 11:00:00","Torridon","AC/CB","967593","770","90","30","Coire nan Laoigh","-3.00","90.00","15.00","50","0 - None","1","50","10.00","","0","-4.00","190","20","Moderate","Considerable -","0","0.00","2","30","","6","","1","","-3.60","Facets appearing at 17cm depthStrong localised gusts",
"2014-01-31 12:15:00","Torridon","CB,AC,PT","935585","650","320","32","Hillwalk Gully, Liathach","0.00","50.00","15.00","100","2 - Trace","0","50","3.00","","0","-3.00","110","80","Moderate","Moderate","0","0.00","2","28","","4","0","1","","-0.30","",
"2014-01-11 12:15:00","Torridon","GM, CB","940611","590","90","10","Coire Mhic Fhearchair","0.00","270.00","20.00","50","4 - Light Showers","1","35","35.00","","0","","","","Moderate","Moderate","0","0.00","1","26","4","3","5","1","","-1.20","nil",
"2014-01-10 12:15:00","Torridon","GM, CB","939581","833","10","45","Liathach Summit Ridge","1.10","225.00","10.00","60","2 - Trace","0","40","10.00","","0","","","","Low","Moderate","0","0.00","3","22","2","3","0","2","","0.00","",
"2014-01-04 11:40:00","Torridon","AD/SA/AJ","786423","745","110","44","Bealach na Ba","0.30","250.00","10.00","55","0 - None","0","44","15.00","","0","-1.10","225","21","Low","Moderate","0","0.00","4","22","0","3","5","1","","0.00","",
"2014-01-03 12:00:00","Torridon","AD/SA","986608","800","20","40","Beinn Eighe, Creag Dhub","1.80","200.00","40.00","100","2 - Trace","1","83","10.00","","0","0.80","157","45","Moderate","Moderate","0","0.00","4","22","2","3","0","1","","0.00","nil",
"2014-01-02 12:15:00","Torridon","AD/SA","966594","810","80","44","Beinn Eighe, Spidean Coire nan Clach","0.00","310.00","10.00","100","2 - Trace","1","43","5.00","","0","0.00","202","30","Moderate","Moderate","0","0.00","4","20","2","3","0","1","","0.00","Some small loose wet snow sloughs observed",
"2014-01-01 12:00:00","Torridon","AD/SA/CB","932584","765","0","10","Liathach, Coireag Dubh Mor","1.30","90.00","5.00","60","4 - Light Showers","0","42","0.00","","0","0.30","113","18","Low","Moderate","102","0.00","3","18","4","3","0","1","","0.00","Hard rain crust on surface at snow pit site.",
"2013-12-31 12:10:00","Torridon","AD/SA/CB","787425","705","90","10","Bealach na Ba","1.20","90.00","35.00","100","2 - Trace","0","61","15.00","","0","2.00","90","18","Low","Moderate","0","0.00","1","14","2","2","0","1","","0.00","Exploration day at Bealach na Ba",
